fecha;ley_alimento;conc_gravimetria;rlv_scv;conc_clean;alim_sulf;rlv_colum;conc_colum;alim_roug;conc_desp;hum_desp;nivel_colchon;presion_cav;flujo_aire;flujo_Agua;valv_descarga;frecuencia_bomba;ratio_conc;rec_colum;factor_met
1/11/2021 07:00;0.90;49.55;0.16;12.90;0.58;5.34;19.80;0.65;32.47;7.71;90.17;30.00;25.20;4.14;30.63;55.86;1.534883721;80.24703271;308.2356954
1/11/2021 09:00;0.84;35.01;0.16;11.94;0.56;4.00;22.57;0.60;31.50;7.48;94.58;30.00;27.32;4.18;31.27;55.83;1.890284757;80.82316086;236.9865043
1/11/2021 11:00;0.82;30.22;0.17;11.51;0.58;3.90;23.39;0.62;29.86;7.50;98.99;30.00;27.17;4.22;34.35;55.79;2.03214596;79.34648926;208.3276199
1/11/2021 13:00;0.85;34.05;0.17;10.59;0.61;3.58;25.05;0.64;29.11;7.47;99.19;30.01;26.99;4.26;36.06;55.75;2.365439093;77.23208219;248.3241169
1/11/2021 15:00;0.83;34.48;0.17;10.39;0.55;4.89;25.96;0.61;29.85;8.01;98.15;30.01;24.42;4.30;40.53;55.71;2.498556304;65.22097614;216.440737
1/11/2021 17:00;0.80;45.27;0.18;11.00;0.62;5.04;28.44;0.65;32.87;8.40;97.10;30.02;23.61;4.35;39.54;55.68;2.585454545;65.85174825;271.0098767
1/11/2021 19:00;0.80;54.67;0.18;15.85;0.61;6.38;31.16;0.66;34.89;7.83;96.06;26.95;19.86;4.39;38.85;55.64;1.965930599;75.13060039;259.1413201
1/11/2021 21:00;0.80;41.65;0.17;14.84;0.57;7.24;33.41;0.61;35.58;7.67;95.01;26.16;20.13;4.43;39.02;55.60;2.251347709;65.38113331;183.4989355
1/11/2021 23:00;0.81;34.10;0.17;14.17;0.54;6.23;28.33;0.59;34.27;7.41;93.96;29.75;21.86;4.47;37.71;55.56;1.999294284;71.82984893;172.8579992
2/11/2021 01:00;0.82;36.16;0.17;13.85;0.55;6.04;29.61;0.55;33.37;7.74;92.92;29.82;21.88;4.51;37.53;55.52;2.137906137;70.84025003;184.951873
2/11/2021 03:00;0.80;33.42;0.16;14.46;0.51;6.98;28.66;0.54;33.45;7.84;91.87;29.89;21.62;4.56;37.11;55.49;1.982019364;68.38332491;158.0477675
2/11/2021 05:00;0.80;32.83;0.17;10.55;0.52;4.03;24.32;0.55;32.19;7.85;90.83;29.97;24.88;4.60;34.00;55.45;2.30521327;74.07585274;230.5128195
2/11/2021 07:00;0.80;47.48;0.16;10.18;0.52;4.13;21.58;0.56;30.43;8.01;90.76;30.00;28.81;4.64;32.57;55.41;2.119842829;73.49598347;342.7887323
2/11/2021 09:00;0.82;31.82;0.17;11.33;0.53;4.01;24.10;0.59;29.79;8.20;94.39;29.99;29.41;4.68;32.84;55.37;2.127096205;77.50295778;217.6649706
2/11/2021 11:00;0.78;41.71;0.19;11.86;0.53;4.72;25.14;0.62;30.59;8.33;98.03;29.97;28.96;4.73;32.67;55.34;2.119730185;74.11789189;260.6625018
2/11/2021 13:00;0.80;54.06;0.19;10.37;0.50;4.09;26.21;0.58;34.52;8.12;101.66;29.96;28.97;4.77;33.04;55.30;2.527483124;71.75675416;374.0761938
2/11/2021 15:00;0.79;46.89;0.18;10.83;0.51;4.14;27.70;0.58;35.79;8.77;105.29;29.96;28.54;4.81;30.16;55.26;2.557946255;72.62352505;314.4627472
2/11/2021 19:00;0.79;53.77;0.17;10.06;0.54;4.47;22.66;0.55;32.99;8.86;108.71;29.96;21.88;4.89;36.67;55.19;2.252485089;69.2215044;369.9841244
2/11/2021 21:00;0.78;41.73;0.15;10.90;0.53;4.59;21.85;0.50;32.61;8.43;106.89;29.96;21.93;4.94;37.69;55.15;2.004587156;73.28473322;280.566231
2/11/2021 23:00;0.79;33.35;0.14;10.91;0.55;4.59;22.27;0.47;29.11;8.52;105.06;29.83;18.96;4.98;38.85;55.11;2.041246563;72.96763731;223.0495604
3/11/2021 01:00;0.78;32.37;0.15;10.93;0.52;5.34;19.05;0.49;26.10;8.69;103.23;19.96;15.90;4.78;53.40;55.07;1.742909424;71.06392179;210.4610383
3/11/2021 03:00;0.79;42.92;0.15;13.38;0.55;6.91;24.14;0.56;28.55;8.61;101.40;19.54;19.09;4.34;32.12;55.04;1.804185351;67.74857355;217.3220311
3/11/2021 05:00;0.80;50.37;0.15;13.90;0.56;5.46;23.38;0.50;31.23;8.85;97.69;29.85;19.97;4.00;25.70;55.00;1.682014388;79.2198741;287.0723064
3/11/2021 07:00;0.86;54.45;0.16;11.86;0.53;4.32;13.22;0.53;32.65;7.89;91.54;29.88;24.83;3.98;22.63;55.01;1.114671164;94.43393903;433.5521062
3/11/2021 09:00;0.81;35.13;0.18;10.35;0.53;4.25;19.07;0.52;31.54;8.60;98.49;29.92;25.35;3.96;18.54;55.02;1.842512077;75.83889117;257.4125842
3/11/2021 11:00;0.80;36.56;0.17;9.80;0.54;3.64;22.11;0.52;28.50;8.20;102.70;29.96;22.18;3.94;28.99;55.03;2.256122449;75.24479851;280.7091667
3/11/2021 13:00;0.84;36.44;0.16;10.58;0.52;4.01;21.58;0.56;30.25;8.18;106.14;29.97;20.07;3.92;39.50;55.03;2.039697543;76.2709895;262.6951661
3/11/2021 15:00;0.80;38.10;0.17;10.07;0.53;4.13;21.97;0.55;30.11;8.20;109.58;29.82;20.00;3.90;29.18;55.04;2.181727905;72.64273405;274.8449024
3/11/2021 17:00;0.83;49.84;0.17;13.78;0.52;4.18;30.22;0.53;32.60;7.93;114.83;29.67;18.23;3.88;25.49;55.05;2.193033382;80.84915693;292.4181409
3/11/2021 19:00;0.82;55.42;0.17;13.67;0.59;7.35;25.53;0.61;36.35;8.24;119.88;25.32;18.98;3.86;35.64;57.09;1.86759327;64.92403447;263.2106796
3/11/2021 21:00;0.80;43.75;0.18;14.55;0.55;6.42;27.00;0.57;35.61;8.27;117.88;25.23;19.14;3.84;33.44;57.48;1.855670103;73.30708425;220.4250815
3/11/2021 23:00;0.81;32.13;0.17;15.18;0.53;5.89;24.98;0.52;33.59;8.59;115.88;25.15;18.85;3.82;37.58;57.87;1.645586298;80.08117709;169.4998827
4/11/2021 01:00;0.84;36.43;0.16;12.91;0.51;5.84;28.88;0.49;30.01;8.47;113.88;25.07;19.25;3.80;36.17;58.26;2.237025562;68.6448382;193.7049927
4/11/2021 03:00;0.80;37.02;0.16;14.53;0.53;5.82;29.83;0.51;30.18;9.07;111.88;25.07;18.85;3.78;36.88;58.65;2.052993806;74.4755354;189.7511576
4/11/2021 05:00;0.82;44.07;0.16;14.04;0.54;5.83;27.68;0.55;33.24;9.31;109.65;29.74;19.72;3.76;37.78;59.04;1.971509972;74.07824653;232.5233849
4/11/2021 09:00;0.82;38.65;0.17;9.31;0.50;4.61;20.04;0.50;35.95;9.09;108.73;29.87;19.95;3.72;39.54;59.33;2.152953813;65.56228406;272.1785477
4/11/2021 11:00;0.86;39.47;0.16;9.83;0.52;4.51;22.65;0.51;31.43;8.77;111.74;29.94;20.04;3.70;36.97;58.79;2.304170905;67.57546426;271.3330188
4/11/2021 13:00;0.83;38.84;0.17;11.28;0.51;4.98;25.06;0.50;31.50;9.42;114.75;30.00;20.07;3.68;36.87;58.26;2.221631206;69.70257269;240.0042485
4/11/2021 15:00;0.82;32.73;0.16;11.70;0.52;4.90;23.89;0.52;30.65;9.07;112.46;30.00;19.85;3.66;39.96;57.72;2.041880342;73.11630503;204.5381764
4/11/2021 17:00;0.88;27.80;0.17;12.01;0.50;4.97;20.41;0.50;30.10;8.60;110.08;29.99;19.98;3.64;30.14;57.03;1.699417152;77.48637793;179.3606417
4/11/2021 19:00;0.86;36.23;0.19;12.93;0.55;6.02;22.04;0.56;29.61;8.71;110.81;29.99;19.88;3.62;34.99;57.25;1.704563032;73.52391104;206.0147948
4/11/2021 21:00;0.82;32.44;0.17;13.20;0.53;5.76;26.87;0.51;29.51;9.01;111.54;29.99;20.09;3.60;30.86;57.48;2.035606061;71.742819;176.3134128
4/11/2021 23:00;0.83;29.88;0.18;11.14;0.50;5.26;25.70;0.56;27.94;8.91;112.27;29.99;18.22;3.58;40.17;57.70;2.307001795;66.36580507;178.0081019
5/11/2021 01:00;0.85;34.16;0.17;11.94;0.53;5.01;27.08;0.57;27.54;9.13;113.00;30.00;17.81;3.56;33.09;57.92;2.2680067;71.21561591;203.7458492
5/11/2021 03:00;0.86;47.85;0.18;12.90;0.56;6.45;32.59;0.58;30.33;9.37;113.73;30.00;17.88;3.54;38.05;58.15;2.526356589;62.33741393;231.2283144
5/11/2021 05:00;0.81;53.94;0.19;13.74;0.55;6.37;31.37;0.60;36.37;9.72;114.46;30.01;17.72;3.52;47.39;58.37;2.283114993;67.30622999;264.2283876
5/11/2021 07:00;0.84;55.82;0.16;12.20;0.53;5.61;31.24;0.51;37.23;8.71;106.76;30.00;18.09;3.50;37.23;59.97;2.560655738;65.8397242;301.2437217
5/11/2021 09:00;0.86;38.64;0.18;10.46;0.52;6.19;35.80;0.52;35.40;9.01;107.85;30.00;17.68;3.69;52.05;58.89;3.422562141;49.35609708;182.3250087
5/11/2021 11:00;0.88;32.67;0.17;10.02;0.59;4.68;28.63;0.55;33.26;8.67;103.89;30.00;20.36;3.94;37.80;58.55;2.857285429;63.70732439;207.716396
5/11/2021 13:00;0.86;36.24;0.17;10.94;0.57;5.09;26.28;0.56;30.52;8.71;100.09;30.00;19.91;3.96;38.53;58.22;2.402193784;66.31002617;219.6595382
5/11/2021 15:00;0.82;31.76;0.16;10.38;0.57;5.23;18.96;0.58;29.10;8.37;105.13;29.99;21.93;3.91;34.97;57.88;1.826589595;68.51373937;209.6335609
5/11/2021 17:00;0.86;28.96;0.16;9.65;0.58;5.20;20.62;0.58;26.34;8.56;109.85;29.97;18.20;3.86;41.49;57.00;2.136787565;61.66475138;185.0581554
5/11/2021 19:00;0.88;57.19;0.17;13.28;0.61;7.97;30.47;0.64;31.18;9.34;105.38;29.96;20.26;3.81;30.33;57.03;2.294427711;54.14849398;233.1891845
5/11/2021 21:00;0.84;50.32;0.17;11.82;0.58;5.57;29.02;0.60;34.77;9.07;100.90;29.96;19.97;3.76;33.61;57.06;2.455160745;65.43605396;278.5737932
5/11/2021 23:00;0.83;42.54;0.16;11.09;0.60;4.77;20.68;0.62;32.81;8.75;101.76;29.96;27.04;3.71;24.96;57.09;1.864743012;74.0740153;284.1396403
6/11/2021 01:00;0.85;41.25;0.16;10.45;0.55;4.14;17.94;0.60;30.10;9.00;103.97;29.97;27.13;3.66;27.77;57.12;1.716746411;78.49760766;309.8589776
6/11/2021 03:00;0.84;38.82;0.17;12.19;0.61;4.32;19.12;0.58;29.06;9.20;106.18;29.98;24.95;3.61;31.25;57.16;1.568498769;83.40598186;265.6128151
6/11/2021 07:00;0.83;58.90;0.17;10.94;0.62;4.51;23.78;0.61;29.71;8.38;109.49;29.98;21.97;3.51;26.34;57.22;2.173674589;72.53102027;390.5006484
6/11/2021 09:00;0.84;41.31;0.17;10.92;0.56;4.58;18.37;0.57;31.29;9.13;107.60;29.98;21.90;3.09;31.46;57.25;1.682234432;77.34130747;292.5796165
6/11/2021 11:00;0.86;38.00;;11.00;0.56;4.60;26.37;0.58;29.86;9.16;105.70;29.98;20.12;3.22;32.90;57.28;2.397272727;70.47563369;243.46128
6/11/2021 13:00;0.87;35.33;0.17;10.35;0.57;4.48;25.15;0.59;31.32;8.75;103.81;29.99;19.84;3.48;31.95;57.31;2.429951691;69.00733636;235.5583762
6/11/2021 15:00;0.85;33.93;0.16;10.36;0.57;5.01;23.41;0.58;30.08;8.63;101.91;30.00;20.10;3.74;28.07;57.34;2.25965251;65.70185286;215.17991
6/11/2021 19:00;0.83;46.74;0.16;9.98;0.55;4.96;18.10;0.57;29.90;9.35;111.27;30.03;22.16;3.93;33.32;57.40;1.813627255;69.28773834;324.4998888
6/11/2021 21:00;0.80;42.44;0.16;9.96;0.50;4.68;21.62;0.53;31.02;9.80;117.02;30.03;21.74;3.86;36.01;57.44;2.170682731;67.65764356;288.2922081
6/11/2021 23:00;0.78;38.30;0.16;10.54;0.48;5.24;27.76;0.57;29.90;9.14;117.44;30.03;17.83;3.79;48.36;57.47;2.633776091;61.98496129;225.2394703
7/11/2021 01:00;0.79;36.24;0.16;9.96;0.47;5.40;26.77;0.56;29.84;9.29;112.12;30.03;17.85;3.72;32.80;57.50;2.687751004;57.35210378;208.6787391
7/11/2021 03:00;0.79;35.88;0.17;10.91;0.49;5.08;24.58;0.50;31.17;7.75;106.81;30.03;18.14;3.65;33.41;57.53;2.252978918;67.35829279;221.5229647
7/11/2021 05:00;0.78;38.40;0.16;10.68;0.52;5.50;27.21;0.52;30.73;8.14;101.49;30.02;18.03;3.58;33.82;57.56;2.547752809;60.78931161;218.5910789
8/11/2021 09:00;0.87;38.88;0.17;9.77;0.56;4.98;29.82;0.55;36.72;0.38;114.66;30.03;19.04;3.62;57.49;59.49;3.052200614;58.85684759;234.2225419
8/11/2021 11:00;0.89;34.04;0.18;9.46;0.53;4.74;26.24;0.63;33.87;0.46;110.43;30.04;18.91;3.71;40.74;59.08;2.773784355;60.89424259;219.1162809
8/11/2021 13:00;0.89;32.66;0.18;9.45;0.53;4.46;23.97;0.60;32.57;0.54;112.51;30.03;20.25;3.80;40.25;58.67;2.536507937;64.87531831;224.2145922
8/11/2021 19:00;0.87;52.86;0.19;13.71;0.55;6.65;20.21;0.67;32.91;0.79;117.61;29.99;19.81;4.00;31.57;57.27;1.474106492;76.74920229;295.9126793
8/11/2021 21:00;0.88;40.08;0.20;13.83;0.53;6.68;23.98;0.60;36.21;0.88;110.17;29.99;19.82;4.00;30.52;57.56;1.733911786;71.66167208;207.6789455
8/11/2021 23:00;0.83;37.17;0.20;13.10;0.52;6.64;31.17;0.68;34.48;0.96;102.74;29.99;18.00;4.00;43.92;57.86;2.379694656;62.65927888;177.8088575
9/11/2021 01:00;0.82;31.92;0.19;11.13;0.52;4.66;30.74;0.62;34.06;0.04;100.71;29.99;18.20;4.00;51.29;58.16;2.761904762;68.51811277;196.5047762
9/11/2021 03:00;0.80;32.13;0.19;10.94;0.51;4.59;27.97;0.64;30.52;0.13;104.61;29.99;22.04;4.00;35.44;58.46;2.556672761;69.43914469;203.9378171
9/11/2021 05:00;0.83;32.77;0.19;10.15;0.53;4.01;22.92;0.62;28.35;0.21;109.39;29.98;27.12;4.00;35.15;58.76;2.258325123;73.31914264;236.6799713
9/11/2021 07:00;0.81;32.25;0.18;12.27;0.55;7.34;30.97;0.69;31.70;9.89;107.21;29.97;17.95;4.00;47.33;59.93;2.52404238;52.65987699;138.4092121
9/11/2021 09:00;0.80;29.73;0.19;11.90;0.59;6.78;31.06;0.62;33.30;8.15;114.32;29.96;20.04;4.00;39.70;59.68;2.610084034;55.03966331;137.5066546
9/11/2021 11:00;0.80;27.01;0.19;12.77;0.54;6.24;28.18;0.61;31.43;8.29;112.85;29.98;20.00;4.00;36.50;59.42;2.206734534;65.67901781;138.9185803
9/11/2021 13:00;0.81;27.81;0.19;13.04;0.53;5.98;25.36;0.60;31.56;8.27;111.37;30.12;20.06;4.00;39.25;59.17;1.944785276;70.84718292;151.0935703
9/11/2021 15:00;0.80;38.88;0.18;10.34;0.57;5.22;29.88;0.59;31.52;8.92;108.57;30.25;21.96;4.00;35.98;59.02;2.889748549;59.99802341;225.601852
9/11/2021 17:00;0.80;33.58;0.19;10.74;0.53;5.00;23.72;0.58;33.16;8.19;109.35;29.92;17.73;3.98;73.38;57.28;2.208566108;67.71992233;211.7351017
9/11/2021 19:00;0.76;48.68;0.18;9.51;0.53;4.37;13.71;0.57;29.30;8.50;100.16;29.93;25.03;3.91;35.03;57.04;1.441640379;79.33652619;406.1095788
9/11/2021 21:00;0.77;27.17;0.18;9.46;0.56;3.71;19.84;0.59;29.40;8.26;104.66;29.95;25.09;3.85;29.12;57.04;2.097251586;74.76253328;214.7249502
9/11/2021 23:00;0.80;34.63;0.19;11.70;0.53;4.98;27.87;0.58;30.10;9.02;109.40;29.97;21.43;3.78;40.60;57.04;2.382051282;69.93178076;206.9861169
10/11/2021 01:00;0.85;36.96;0.19;10.78;0.53;5.63;30.32;0.58;32.12;8.82;100.49;29.98;18.80;3.72;37.11;57.04;2.812615955;58.667364;201.145248
10/11/2021 03:00;0.89;38.41;0.20;9.36;0.52;5.01;30.30;0.58;33.55;8.91;104.77;29.98;23.74;3.65;42.83;57.04;3.237179487;55.68102321;228.4944553
10/11/2021 05:00;0.83;38.18;0.18;11.75;0.54;4.66;26.55;0.63;33.26;8.72;109.04;29.98;23.90;3.59;34.91;57.04;2.259574468;73.18585189;237.8073043
10/11/2021 07:00;0.85;40.92;0.19;10.54;0.57;6.15;29.53;0.62;32.66;9.28;115.00;29.98;19.07;3.52;37.72;59.88;2.80170778;52.60691683;204.2386183
10/11/2021 09:00;0.81;31.74;0.18;11.88;0.56;6.23;32.94;0.64;32.62;8.83;115.00;29.98;18.97;3.61;41.72;59.74;2.772727273;58.65184983;156.7011544
10/11/2021 11:00;0.83;30.21;0.19;11.63;0.54;5.60;27.70;0.60;32.76;8.98;115.00;29.98;19.14;3.78;35.27;59.60;2.381771281;64.98679107;168.8091967
10/11/2021 13:00;0.82;33.56;0.18;10.05;0.58;4.87;21.47;0.58;32.04;8.45;111.27;29.98;21.30;3.95;35.29;59.43;2.136318408;66.66342984;222.6094234
10/11/2021 15:00;0.80;34.04;0.18;10.08;0.61;5.10;20.45;0.60;31.78;8.77;109.59;29.99;21.94;3.97;34.93;59.13;2.028769841;65.81937335;222.2709791
