TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RECUPERACION;RATIOSNS;RATIOSNS;RATIOFRDD80
2487.00;36.05;144.72;0.87;0.26;7.43;72.06;;;
2496.00;37.18;141.25;0.83;0.24;7.36;76.94;;;
2487.75;39.20;138.12;0.83;0.22;7.24;73.72;3.77;0.11;3.52
2508.00;35.68;125.06;0.84;0.25;7.34;77.23;;;
2508.00;41.58;121.84;0.83;0.24;7.44;73.46;3.46;0.11;2.93
2508.00;39.67;115.42;0.86;0.23;7.21;74.59;3.74;0.12;2.91
2508.00;45.13;103.58;0.93;0.24;7.64;70.79;3.88;0.12;2.30
2508.00;47.29;99.86;0.92;0.28;4.39;69.01;3.29;0.21;2.11
2508.00;45.27;101.07;0.90;0.28;7.19;74.37;3.21;0.13;2.23
2508.25;43.83;99.22;0.90;0.31;7.99;69.04;2.90;0.11;2.26
2508.00;43.97;111.35;0.91;0.49;8.09;71.41;1.86;0.11;2.53
2499.75;45.68;115.03;1.01;0.56;7.43;72.14;1.80;0.14;2.52
2411.25;42.70;115.36;1.01;0.49;6.89;74.34;2.06;0.15;2.70
2497.63;44.49;121.26;1.05;0.51;8.03;73.72;2.06;0.13;2.73
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
2316.38;48.76;101.43;0.92;0.36;7.23;62.74;;;
2506.88;44.64;111.33;0.86;0.33;7.98;67.54;2.61;0.11;2.49
2508.25;40.29;127.73;0.89;0.37;6.53;64.07;2.41;0.14;3.17
2507.63;41.54;126.79;0.86;0.35;8.28;73.04;2.46;0.10;3.05
2491.13;39.87;123.78;0.85;0.29;6.72;70.50;2.93;0.13;3.10
2505.00;42.74;114.60;0.85;0.33;7.44;64.32;2.58;0.11;2.68
2508.00;39.73;150.28;0.84;0.25;7.33;66.19;3.36;0.11;3.78
2507.63;39.01;140.01;0.84;0.27;7.44;63.55;3.11;0.11;3.59
2507.88;39.72;141.13;0.82;0.27;7.80;64.04;3.04;0.11;3.55
2508.00;38.14;144.61;0.80;0.24;7.76;63.24;3.33;0.10;3.79
2508.00;40.58;135.63;0.84;0.28;8.69;68.36;3.00;0.10;3.34
2497.50;42.65;119.09;0.81;0.27;7.96;67.65;3.00;0.10;2.79
2495.63;41.27;110.73;0.80;0.28;7.90;66.93;2.86;0.10;2.68
2474.88;39.70;138.80;0.86;0.32;8.04;67.04;2.69;0.11;3.50
2508.00;34.58;169.45;0.86;0.24;7.82;66.73;;;
2480.25;40.72;168.24;0.86;0.21;7.13;61.11;4.10;0.12;4.13
2481.50;39.47;151.96;0.83;0.22;7.48;65.54;3.77;0.11;3.85
2413.13;36.13;172.54;0.84;0.21;4.10;68.18;;;
2343.00;36.93;160.23;0.82;0.23;7.18;62.95;;;
2343.75;41.19;142.29;0.87;0.25;6.23;63.26;3.48;0.14;3.45
2508.00;34.55;151.91;0.89;0.28;7.26;70.13;;;
2481.00;40.44;143.52;0.87;0.26;6.80;71.88;3.35;0.13;3.55
2457.68;42.36;165.52;0.88;0.23;6.37;61.51;3.83;0.14;3.91
2423.25;40.28;156.74;0.92;0.31;8.21;65.09;2.97;0.11;3.89
2436.75;42.13;139.33;0.88;0.30;6.39;69.59;2.93;0.14;3.31
2439.75;41.16;153.75;0.88;0.24;6.46;61.11;3.67;0.14;3.74
2486.00;38.44;167.50;0.86;0.25;6.56;61.65;3.44;0.13;4.36
2387.00;43.08;155.55;0.86;0.27;6.16;60.87;3.19;0.14;3.61
2491.50;42.78;143.51;0.84;0.23;6.21;68.56;3.65;0.14;3.35
2318.75;43.07;162.94;0.86;0.24;6.22;62.69;3.58;0.14;3.78
2508.00;42.05;130.15;0.84;0.22;6.00;71.00;3.82;0.14;3.10
2319.05;42.29;115.42;0.83;0.17;6.85;63.61;4.88;0.12;2.73
2508.00;45.89;108.87;0.85;0.20;6.88;65.06;4.25;0.12;2.37
2508.00;46.29;114.35;0.86;0.27;6.33;66.93;3.19;0.14;2.47
2508.35;39.01;119.40;0.85;0.32;6.68;65.16;2.66;0.13;3.06
2507.40;40.70;108.41;0.82;0.27;6.36;70.55;3.04;0.13;2.66
2469.00;43.51;108.78;0.85;0.25;7.00;66.81;3.40;0.12;2.50
2508.05;41.85;114.35;0.88;0.24;6.98;69.28;3.67;0.13;2.73
2496.00;42.47;126.84;0.87;0.27;6.48;68.66;3.22;0.13;2.99
2511.00;42.21;131.50;0.87;0.25;6.97;63.46;3.48;0.12;3.12
2399.85;40.94;135.76;0.84;0.29;6.81;62.39;2.90;0.12;3.32
2508.00;39.42;145.97;0.85;0.27;6.67;65.36;3.15;0.13;3.70
2508.00;33.65;176.90;0.84;0.27;6.66;70.09;;;
2508.00;36.43;182.74;0.95;0.46;6.45;69.29;;;
2508.00;36.11;170.64;0.93;0.38;6.03;68.30;;;
2505.48;38.67;148.55;0.97;0.40;6.42;68.30;2.43;0.15;3.84
2507.90;36.08;151.50;0.97;0.43;6.24;68.93;;;
2494.60;#N/D;#N/D;0.99;0.46;6.46;69.31;;;
2507.40;#N/D;#N/D;1.20;0.56;6.29;64.48;;;
2508.10;#N/D;#N/D;1.05;0.40;6.69;66.52;;;
2508.00;40.35;133.66;0.89;0.40;6.68;79.69;2.23;0.13;3.31
2508.20;41.08;135.47;0.94;0.48;6.04;77.04;1.96;0.16;3.30
2505.00;36.28;150.16;1.00;0.49;6.15;81.78;;;
2510.30;40.24;135.02;0.87;0.43;5.56;83.46;;;
493.30;#N/D;#N/D;0.85;0.41;6.24;64.49;;;
2508.20;36.84;147.89;0.86;0.42;5.90;88.05;;;
2508.30;37.81;130.89;0.91;0.53;5.88;88.43;;;
2508.70;42.04;136.67;0.87;0.51;5.92;69.53;1.71;0.15;3.25
2507.00;38.12;145.38;0.87;0.45;5.94;80.27;1.93;0.15;3.81
2508.40;37.59;144.06;0.89;0.46;6.06;88.93;;;
2508.40;40.89;138.61;0.91;0.44;6.56;80.72;2.07;0.14;3.39
2508.20;42.48;130.00;0.91;0.40;6.33;79.41;2.28;0.14;3.06
2501.90;38.44;144.56;0.96;0.45;5.94;90.08;;;
2507.70;39.75;161.36;0.97;0.52;5.98;87.91;;;
2508.10;40.79;168.06;0.92;0.39;6.25;79.28;2.36;0.15;4.12
2508.40;43.56;140.18;0.85;0.36;6.54;72.62;2.36;0.13;3.22
2503.30;37.15;163.62;0.88;0.40;6.54;78.27;;;
2462.00;32.33;187.07;0.86;0.33;6.37;68.32;;;
2408.70;29.69;197.51;0.86;0.32;6.54;67.33;;;
2485.20;34.69;166.98;0.88;0.34;6.70;66.11;;;
2420.10;35.96;162.37;0.86;0.33;6.35;65.49;;;
2382.60;42.94;156.26;0.91;0.34;6.46;62.45;2.68;0.14;3.64
2400.20;43.84;154.85;0.89;0.33;6.54;64.46;2.70;0.14;3.53
2426.50;42.34;165.73;0.88;0.33;6.75;61.49;2.67;0.13;3.91
2486.40;41.33;152.11;0.85;0.28;6.88;60.15;3.04;0.12;3.68
