TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RATIOSNS;RATIOSNFE;RATIOFRDD80;RECUPERACION
2487.75;39.2;138.12;0.83;0.22;7.24;3.77;0.11;3.52;73.72
2508;41.58;121.84;0.83;0.24;7.44;3.46;0.11;2.93;73.46
2508;39.67;115.42;0.86;0.23;7.21;3.74;0.12;2.91;74.59
2508;45.13;103.58;0.93;0.24;7.64;3.88;0.12;2.3;70.79
2508;47.29;99.86;0.92;0.28;4.39;3.29;0.21;2.11;69.01
2508;45.27;101.07;0.9;0.28;7.19;3.21;0.13;2.23;74.37
2508.25;43.83;99.22;0.9;0.31;7.99;2.9;0.11;2.26;69.04
2508;43.97;111.35;0.91;0.49;8.09;1.86;0.11;2.53;71.41
2499.75;45.68;115.03;1.01;0.56;7.43;1.8;0.14;2.52;72.14
2411.25;42.7;115.36;1.01;0.49;6.89;2.06;0.15;2.7;74.34
2497.63;44.49;121.26;1.05;0.51;8.03;2.06;0.13;2.73;73.72
2506.88;44.64;111.33;0.86;0.33;7.98;2.61;0.11;2.49;67.54
2508.25;40.29;127.73;0.89;0.37;6.53;2.41;0.14;3.17;64.07
2507.63;41.54;126.79;0.86;0.35;8.28;2.46;0.1;3.05;73.04
2491.13;39.87;123.78;0.85;0.29;6.72;2.93;0.13;3.1;70.5
2505;42.74;114.6;0.85;0.33;7.44;2.58;0.11;2.68;64.32
2508;39.73;150.28;0.84;0.25;7.33;3.36;0.11;3.78;66.19
2507.63;39.01;140.01;0.84;0.27;7.44;3.11;0.11;3.59;63.55
2507.88;39.72;141.13;0.82;0.27;7.8;3.04;0.11;3.55;64.04
2508;38.14;144.61;0.8;0.24;7.76;3.33;0.1;3.79;63.24
2508;40.58;135.63;0.84;0.28;8.69;3;0.1;3.34;68.36
2497.5;42.65;119.09;0.81;0.27;7.96;3;0.1;2.79;67.65
2495.63;41.27;110.73;0.8;0.28;7.9;2.86;0.1;2.68;66.93
2474.88;39.7;138.8;0.86;0.32;8.04;2.69;0.11;3.5;67.04
2480.25;40.72;168.24;0.86;0.21;7.13;4.1;0.12;4.13;61.11
2481.5;39.47;151.96;0.83;0.22;7.48;3.77;0.11;3.85;65.54
2343.75;41.19;142.29;0.87;0.25;6.23;3.48;0.14;3.45;63.26
2481;40.44;143.52;0.87;0.26;6.8;3.35;0.13;3.55;71.88
2457.68;42.36;165.52;0.88;0.23;6.37;3.83;0.14;3.91;61.51
2423.25;40.28;156.74;0.92;0.31;8.21;2.97;0.11;3.89;65.09
2436.75;42.13;139.33;0.88;0.3;6.39;2.93;0.14;3.31;69.59
2439.75;41.16;153.75;0.88;0.24;6.46;3.67;0.14;3.74;61.11
2486;38.44;167.5;0.86;0.25;6.56;3.44;0.13;4.36;61.65
2387;43.08;155.55;0.86;0.27;6.16;3.19;0.14;3.61;60.87
2491.5;42.78;143.51;0.84;0.23;6.21;3.65;0.14;3.35;68.56
2318.75;43.07;162.94;0.86;0.24;6.22;3.58;0.14;3.78;62.69
2508;42.05;130.15;0.84;0.22;6;3.82;0.14;3.1;71
2319.05;42.29;115.42;0.83;0.17;6.85;4.88;0.12;2.73;63.61
2508;45.89;108.87;0.85;0.2;6.88;4.25;0.12;2.37;65.06
2508;46.29;114.35;0.86;0.27;6.33;3.19;0.14;2.47;66.93
2508.35;39.01;119.4;0.85;0.32;6.68;2.66;0.13;3.06;65.16
2507.4;40.7;108.41;0.82;0.27;6.36;3.04;0.13;2.66;70.55
2469;43.51;108.78;0.85;0.25;7;3.4;0.12;2.5;66.81
2508.05;41.85;114.35;0.88;0.24;6.98;3.67;0.13;2.73;69.28
2496;42.47;126.84;0.87;0.27;6.48;3.22;0.13;2.99;68.66
2511;42.21;131.5;0.87;0.25;6.97;3.48;0.12;3.12;63.46
2399.85;40.94;135.76;0.84;0.29;6.81;2.9;0.12;3.32;62.39
2508;39.42;145.97;0.85;0.27;6.67;3.15;0.13;3.7;65.36
2505.48;38.67;148.55;0.97;0.4;6.42;2.43;0.15;3.84;68.3
2508;40.35;133.66;0.89;0.4;6.68;2.23;0.13;3.31;79.69
2508.2;41.08;135.47;0.94;0.48;6.04;1.96;0.16;3.3;77.04
2508.7;42.04;136.67;0.87;0.51;5.92;1.71;0.15;3.25;69.53
2507;38.12;145.38;0.87;0.45;5.94;1.93;0.15;3.81;80.27
2508.4;40.89;138.61;0.91;0.44;6.56;2.07;0.14;3.39;80.72
2508.2;42.48;130;0.91;0.4;6.33;2.28;0.14;3.06;79.41
2508.1;40.79;168.06;0.92;0.39;6.25;2.36;0.15;4.12;79.28
2508.4;43.56;140.18;0.85;0.36;6.54;2.36;0.13;3.22;72.62
2382.6;42.94;156.26;0.91;0.34;6.46;2.68;0.14;3.64;62.45
2400.2;43.84;154.85;0.89;0.33;6.54;2.7;0.14;3.53;64.46
2426.5;42.34;165.73;0.88;0.33;6.75;2.67;0.13;3.91;61.49
2486.4;41.33;152.11;0.85;0.28;6.88;3.04;0.12;3.68;60.15
2507.6;41.03;146.1;0.86;0.27;6.83;3.19;0.13;3.56;57.53
2494.7;41.98;149.06;0.86;0.31;6.92;2.77;0.12;3.55;60.2
2496.7;41.33;150.91;0.9;0.37;6.68;2.43;0.13;3.65;68.37
2508;45.93;141.96;0.87;0.31;6.18;2.81;0.14;3.09;72.26
2498.8;46.7;144.46;0.86;0.28;5.89;3.07;0.15;3.09;74.09
2454.1;40.73;164.89;0.88;0.33;6.08;2.67;0.14;4.05;63.43
2508;45.67;152.33;0.87;0.3;6.37;2.9;0.14;3.34;59.15
2457.8;46;151.62;0.89;0.27;7.13;3.3;0.12;3.3;56.56
2508;43.32;149.34;0.86;0.28;6.08;3.07;0.14;3.45;61.07
2507.7;44.35;144.55;0.85;0.24;6.28;3.54;0.14;3.26;60.27
2508.1;40.98;156.6;0.86;0.28;6.97;3.07;0.12;3.82;67.16
2501.3;44.52;144.15;0.87;0.28;7.45;3.11;0.12;3.24;62.85
