,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
0,45.77,23.81,22.64,9.22,72.92,8.92,20904.8,0.45,0.0,2.5824295010845986,7.733333333333333,4084.2400000000002
2,44.53,23.65,22.22,10.3,73.07,8.69,20054.04,0.46,0.0,2.2961165048543686,7.326086956521739,4055.0299999999997
4,41.18,23.63,23.2,10.49,73.09,8.64,20160.46,0.46,0.0,2.252621544327931,7.3478260869565215,4131.78
5,42.68,23.17,23.79,9.82,73.09,8.79,20790.39,0.48,0.0,2.359470468431772,7.25,4084.0499999999993
6,43.4,23.36,22.92,9.61,73.05,9.04,21479.14,0.44,0.0,2.4308012486992716,7.909090909090909,3995.9200000000005
7,43.69,23.76,22.8,10.19,73.84,9.04,21483.57,0.41,0.0,2.331697742885182,8.341463414634147,4084.3900000000003
27,43.03,23.95,22.5,10.04,73.89,8.8,20652.47,0.45,0.0,2.3854581673306776,7.622222222222223,4187.19
28,45.65,23.34,22.2,9.6,73.87,8.8,20650.24,0.44,0.0,2.43125,7.886363636363637,4112.94
30,43.7,23.28,23.25,9.68,74.09,8.9,21123.06,0.37,0.0,2.4049586776859506,9.432432432432433,4202.530000000001
31,45.2,23.99,23.49,8.39,73.36,9.1,21585.07,0.36,0.0,2.8593563766388552,9.75,3865.27
32,44.12,23.55,22.49,8.76,73.88,9.1,21685.23,0.41,0.0,2.6883561643835616,8.365853658536587,3817.29
33,46.05,23.93,22.11,7.97,73.95,8.99,21469.09,0.4,0.0,3.002509410288582,8.525,3849.8399999999997
34,42.38,23.86,23.15,9.36,74.13,8.99,21571.67,0.46,0.0,2.5491452991452994,7.5,3987.3999999999996
35,44.88,23.79,22.57,8.68,74.03,9.0,21264.09,0.4,0.0,2.7407834101382487,8.7,3998.7
36,46.16,23.91,21.63,8.77,73.97,9.05,21664.64,0.44,0.0,2.7263397947548462,7.909090909090909,3974.8500000000004
37,43.13,23.49,23.03,9.37,74.08,9.12,21469.54,0.47,0.0,2.5069370330843115,7.340425531914894,4016.63
38,39.9,23.86,23.68,10.59,74.1,9.15,21674.6,0.48,0.0,2.2530689329556184,7.104166666666667,4074.69
39,41.79,23.53,24.08,10.09,73.98,9.15,22020.62,0.46,0.0,2.33201189296333,7.413043478260869,4108.88
40,41.58,23.34,24.43,10.57,73.94,9.19,22100.18,0.49,0.0,2.2081362346263007,7.000000000000001,4071.68
41,41.89,23.32,24.09,9.98,73.78,9.19,22348.57,0.38,0.0,2.3366733466933867,9.342105263157894,3842.34
78,46.31,23.94,20.73,8.33,73.72,8.75,20332.07,0.71,0.0,2.8739495798319328,4.070422535211268,4200.4
79,44.04,23.91,22.04,9.32,74.02,8.78,20454.29,0.72,0.0,2.565450643776824,4.166666666666667,4211.73
80,42.88,23.3,23.05,10.17,74.07,8.94,21063.94,0.66,0.0,2.291052114060964,4.515151515151515,4090.1700000000005
81,44.34,23.69,22.17,10.71,74.01,8.9,20833.59,0.66,0.0,2.211951447245565,4.6060606060606055,4140.11
82,44.84,23.2,22.78,10.58,74.42,8.86,20752.0,0.67,0.0,2.1928166351606806,4.731343283582089,4185.139999999999
83,44.35,23.19,23.27,10.91,74.63,9.0,21139.89,0.63,0.0,2.1255728689275895,5.015873015873016,4164.030000000001
84,40.71,23.42,23.06,11.77,74.72,9.0,21013.6,0.63,0.0,1.9898045879354294,5.063492063492063,4221.84
85,43.15,23.41,23.21,11.75,75.02,8.9,20630.83,0.6,0.0,1.9923404255319148,5.366666666666667,4201.72
86,44.6,23.46,22.15,10.53,74.91,8.89,20867.24,0.61,0.0,2.227920227920228,5.278688524590164,4182.41
87,42.02,23.55,22.89,11.08,75.19,8.95,20872.67,0.58,0.0,2.125451263537906,5.603448275862069,4136.98
88,42.82,22.85,23.23,11.42,75.01,8.91,20887.13,0.59,0.0,2.000875656742557,5.491525423728814,4204.61
89,44.85,23.26,23.27,10.88,75.01,9.0,20964.51,0.57,0.0,2.1378676470588234,5.7894736842105265,4251.110000000001
90,41.68,23.3,23.32,11.1,75.02,9.14,21827.03,0.56,0.0,2.0990990990990994,5.732142857142857,4184.04
91,42.36,23.18,23.59,11.15,75.11,9.19,21913.46,0.57,0.0,2.0789237668161435,5.80701754385965,4242.99
92,42.13,23.45,23.59,10.99,74.87,9.19,21767.3,0.59,0.0,2.1337579617834392,5.593220338983051,4181.9
93,39.92,23.27,24.6,11.7,74.07,9.09,21837.76,0.54,0.0,1.988888888888889,6.037037037037036,3823.6899999999996
94,40.3,22.85,25.63,11.74,73.88,9.09,21713.32,0.52,0.0,1.94633730834753,6.230769230769231,3913.5199999999995
133,46.78,23.67,21.03,8.1,73.54,9.0,20885.39,0.41,0.0,2.9222222222222225,7.8048780487804885,4023.7899999999995
134,45.84,23.8,20.98,8.72,73.68,8.7,20295.41,0.43,0.0,2.7293577981651373,7.4186046511627906,4016.05
135,47.96,23.56,20.84,6.88,73.64,8.77,20447.14,0.41,0.0,3.4244186046511627,7.609756097560976,4023.7999999999997
136,46.83,23.87,20.7,8.23,73.97,8.75,20260.08,0.39,0.0,2.9003645200486026,8.307692307692308,4028.84
137,46.28,23.17,21.21,7.95,74.25,8.67,20169.36,0.4,0.0,2.9144654088050315,7.95,4062.040000000001
138,48.91,23.69,20.46,7.36,73.91,8.8,20572.18,0.39,0.0,3.21875,8.333333333333334,4042.5699999999997
