fecha;fino;int1;int2;grueso;alimfresco;alimpebles;descpebles;solidos;velocidad;peso;potencia;cu;fe
01/01/2020 7:00;45,77;23,81;22,64;9,22;4294,56;402,83;613,15;72,92;-8,92;3061,48;20904,80;0,45;3,48
01/01/2020 7:10;45,45;23,41;22,27;8,64;4383,16;0,33;424,44;72,61;-8,69;3037,31;20361,72;0,44;3,46
01/01/2020 7:20;44,53;23,65;22,22;10,30;4280,89;339,69;565,55;73,07;-8,69;3031,57;20054,04;0,46;3,37
01/01/2020 7:30;43,82;23,42;22,03;10,06;4364,92;311,73;547,04;73,37;-8,60;3047,09;19741,05;0,44;3,49
01/01/2020 7:40;41,18;23,63;23,20;10,49;4332,29;336,07;536,58;73,09;-8,64;3071,27;20160,46;0,46;3,38
01/01/2020 7:50;42,68;23,17;23,79;9,82;4313,11;316,53;545,59;73,09;-8,79;3099,15;20790,39;0,48;3,48
01/01/2020 8:00;43,40;23,36;22,92;9,61;4270,31;318,59;592,98;73,05;-9,04;3121,79;21479,14;0,44;3,48
01/01/2020 8:10;43,69;23,76;22,80;10,19;4351,60;337,26;604,47;73,84;-9,04;3106,46;21483,57;0,41;3,42
01/01/2020 8:20;43,59;24,02;23,03;9,58;4122,18;693,28;625,54;73,93;-9,20;3132,95;21484,90;0,39;3,43
01/01/2020 8:30;44,31;23,51;22,11;8,92;4175,53;701,24;630,16;74,01;-9,19;3111,37;21653,90;0,41;3,39
01/01/2020 8:40;43,82;23,73;22,57;9,25;4127,35;710,13;661,33;74,29;-9,05;3068,47;20866,38;0,47;3,41
01/01/2020 8:50;46,43;23,58;22,47;8,30;4126,30;699,55;616,98;74,05;-8,80;3049,70;20330,51;0,47;3,51
01/01/2020 9:00;44,36;23,82;21,95;9,15;4135,85;713,75;633,34;73,97;-8,59;3037,00;19697,06;0,49;3,45
01/01/2020 9:10;46,53;23,81;21,20;6,82;4053,32;700,10;602,16;73,82;-8,70;3049,08;19868,54;0,43;3,51
