Fecha;HumedadAlimento;Tonelaje;SnA;FeA;SA;Humedadconcentrado;SnCon;Recuperacion
1-Ene;11.77;2498.130;0.88;4.615;0.35;8.47;32.26;72.40
2-Ene;12.35;2439.310;0.86;4.513;0.27;8.75;31.63;71.39
3-Ene;11.78;2507.380;0.84;4.840;0.33;8.91;31.67;68.12
4-Ene;11.78;2507.690;0.86;4.550;0.36;8.61;33.18;69.52
5-Ene;12.16;2507.380;0.87;4.725;0.32;8.43;32.65;69.48
6-Ene;11.40;2378.000;0.87;4.823;0.34;9.05;33.18;71.03
7-Ene;11.86;2507.720;0.85;4.685;0.26;9.29;32.84;69.28
8-Ene;12.50;2508.380;0.86;4.955;0.27;7.97;31.61;68.62
9-Ene;11.35;2508.190;0.84;5.315;0.33;7.44;31.30;69.15
10-Ene;13.50;2473.820;0.85;4.743;0.26;7.29;31.60;64.09
11-Ene;14.77;2504.560;0.84;4.815;0.32;7.58;33.43;65.93
12-Ene;13.54;2445.440;0.84;4.184;0.57;7.87;32.41;68.64
13-Ene;14.06;2508.380;0.83;4.465;0.42;8.46;32.47;67.14
14-Ene;13.88;2486.690;0.82;4.606;0.42;8.77;32.29;64.51
15-Ene;14.42;2491.130;0.84;4.521;0.44;7.35;34.39;68.32
16-Ene;15.00;2456.690;0.82;4.912;0.39;7.48;30.65;66.17
17-Ene;15.00;2508.380;0.85;4.825;0.53;7.65;33.47;68.83
18-Ene;12.36;2507.690;0.84;5.010;0.40;7.96;33.14;67.87
19-Ene;14.50;2468.250;0.85;5.398;0.36;8.80;31.06;68.37
20-Ene;11.70;2508.060;0.85;5.440;0.35;8.75;31.45;63.23
21-Ene;13.64;2508.440;0.83;4.725;0.40;8.29;32.58;67.66
22-Ene;11.54;2507.750;0.84;4.990;0.38;8.40;32.03;61.13
24-Ene;12.37;2508.190;0.85;4.835;0.41;7.90;33.24;67.76
25-Ene;12.25;2508.320;0.84;4.800;0.36;8.02;31.78;65.53
26-Ene;12.43;2507.750;0.82;4.650;0.38;8.23;32.47;68.49
27-Ene;11.86;2447.440;0.82;4.755;0.35;8.12;31.27;68.10
28-Ene;11.60;2473.000;0.84;4.911;0.33;8.59;30.78;64.50
29-Ene;11.15;2480.190;0.82;4.925;0.33;9.27;31.88;65.16
30-Ene;11.67;2507.870;0.80;4.825;0.33;7.45;31.15;67.09
31-Ene;11.67;2508.310;0.81;4.737;0.31;8.15;31.15;64.89
1-Feb;11.36;2508.480;0.83;4.924;0.31;7.87;31.69;66.05
2-Feb;11.32;2508.070;0.84;4.889;0.25;9.11;32.20;63.13
3-Feb;12.71;2507.630;0.83;5.610;0.20;8.16;32.51;64.07
4-Feb;12.08;2508.940;0.85;5.240;0.33;8.18;31.23;62.18
5-Feb;11.38;2507.750;0.88;4.720;0.31;8.41;31.27;67.79
6-Feb;10.99;2508.060;0.88;4.340;0.34;8.59;30.07;63.38
7-Feb;11.42;2508.320;0.86;3.575;0.34;7.17;32.82;69.69
8-Feb;11.79;2456.060;0.84;3.502;0.22;7.99;30.21;64.59
9-Feb;11.44;2508.190;0.83;3.160;0.30;7.99;31.23;63.87
10-Feb;10.77;2508.250;0.83;3.030;0.23;8.10;32.57;68.10
11-Feb;14.27;2507.880;0.85;2.980;0.25;8.30;31.48;63.91
12-Feb;12.25;2508.000;0.83;3.345;0.22;8.00;32.41;67.89
13-Feb;15.51;2508.500;0.80;3.020;0.24;8.45;31.06;67.16
14-Feb;11.38;2507.440;0.81;3.065;0.19;8.61;31.97;61.48
15-Feb;16.01;2508.630;0.85;3.095;0.17;9.18;32.44;60.08
16-Feb;14.28;2508.060;0.84;3.185;0.12;7.72;34.89;71.29
17-Feb;12.66;2345.620;0.84;3.149;0.33;8.05;32.52;67.61
21-Feb;13.04;2502.750;0.86;2.785;0.38;8.65;31.82;66.24
22-Feb;12.55;2438.880;0.84;3.205;0.45;8.57;31.47;67.59
23-Feb;12.53;2508.070;0.86;3.010;0.41;7.48;34.91;70.43
24-Feb;11.40;2507.690;0.88;3.195;0.49;7.44;35.46;68.86
25-Feb;15.58;2486.630;0.88;3.405;0.61;7.77;32.11;67.69
26-Feb;16.77;2430.010;0.90;3.019;0.49;7.67;32.66;66.92
27-Feb;15.85;2506.250;0.87;3.280;0.44;7.80;32.50;68.40
28-Feb;16.84;2508.190;0.90;3.250;0.45;8.09;34.69;74.17
1-Mar;15.68;2508.130;0.83;3.365;0.38;8.57;31.74;67.00
2-Mar;15.27;2508.130;0.84;3.395;0.31;8.37;33.08;70.41
3-Mar;16.56;2508.130;0.90;3.285;0.26;9.46;32.62;63.35
4-Mar;15.93;2504.380;0.93;3.480;0.36;7.96;33.83;65.10
5-Mar;15.83;2508.130;0.94;3.450;0.34;7.35;33.87;66.68
6-Mar;16.06;2508.130;0.90;3.330;0.36;7.75;33.87;66.88
7-Mar;15.71;2508.130;0.86;3.545;0.39;7.66;33.33;66.72
8-Mar;16.11;2507.500;0.86;3.285;0.37;7.91;32.18;67.92
